Model,Domain,Accuracy (%),Avg Output Tokens,Correct,Total
gpt-5.5-medium,Math,80.0,6723,80,100
gpt-5.5-medium,Coding,96.7,1739,58,60
gpt-5.5-medium,Science,85.0,4043,34,40
opus-4.8-xhigh,Math,90.0,25038,90,100
opus-4.8-xhigh,Coding,93.3,4002,56,60
opus-4.8-xhigh,Science,92.5,15785,37,40
gpt-5.5-high,Math,82.0,14062,82,100
gpt-5.5-high,Coding,100.0,2853,60,60
gpt-5.5-high,Science,87.5,10655,35,40
gpt-5.5-xhigh,Math,85.0,19115,85,100
gpt-5.5-xhigh,Coding,100.0,4501,60,60
gpt-5.5-xhigh,Science,87.5,11961,35,40
opus-4.8-medium,Math,88.0,11207,88,100
opus-4.8-medium,Coding,86.7,3000,52,60
opus-4.8-medium,Science,80.0,6042,32,40
opus-4.8-high,Math,91.0,13934,91,100
opus-4.8-high,Coding,81.7,1591,49,60
opus-4.8-high,Science,80.0,7131,32,40
gpt-5.4-medium,Math,78.0,3235,78,100
gpt-5.4-medium,Coding,93.3,2338,56,60
gpt-5.4-medium,Science,75.0,4308,30,40
gpt-5.4-high,Math,74.0,659,74,100
gpt-5.4-high,Coding,98.3,3877,59,60
gpt-5.4-high,Science,70.0,7698,28,40
opus-4.7-xhigh,Math,81.0,11406,81,100
opus-4.7-xhigh,Coding,85.0,1878,51,60
opus-4.7-xhigh,Science,85.0,6076,34,40
gpt-5.4-low,Math,73.0,4646,73,100
gpt-5.4-low,Coding,91.7,1181,55,60
gpt-5.4-low,Science,70.0,1891,28,40
opus-4.8-max,Math,84.0,55252,84,100
opus-4.8-max,Coding,100.0,6906,60,60
opus-4.8-max,Science,90.0,34230,36,40
gpt-5.5-low,Math,65.0,2255,65,100
gpt-5.5-low,Coding,95.0,738,57,60
gpt-5.5-low,Science,70.0,1271,28,40
gemini-3.1-pro-preview,Math,72.0,4130,72,100
gemini-3.1-pro-preview,Coding,86.7,2723,52,60
gemini-3.1-pro-preview,Science,70.0,1934,28,40
opus-4.6,Math,88.0,41964,88,100
opus-4.6,Coding,88.3,7187,53,60
opus-4.6,Science,70.0,27217,28,40
opus-4.8-low,Math,80.0,6214,80,100
opus-4.8-low,Coding,70.0,398,42,60
opus-4.8-low,Science,62.5,2128,25,40
deepseek-v4-pro-high,Math,85.0,57981,85,100
deepseek-v4-pro-high,Coding,85.0,22497,51,60
deepseek-v4-pro-high,Science,80.0,39561,32,40
glm-5.2-max,Math,79.0,42965,79,100
glm-5.2-max,Coding,88.3,34340,53,60
glm-5.2-max,Science,87.5,46900,35,40
glm-5.2-high,Math,76.0,40941,76,100
glm-5.2-high,Coding,85.0,27061,51,60
glm-5.2-high,Science,75.0,47749,30,40
deepseek-v4-pro-max,Math,85.0,98646,85,100
deepseek-v4-pro-max,Coding,88.3,53951,53,60
deepseek-v4-pro-max,Science,75.0,79503,30,40
deepseek-v4-flash-high,Math,79.0,65219,79,100
deepseek-v4-flash-high,Coding,78.3,10665,47,60
deepseek-v4-flash-high,Science,75.0,30752,30,40
deepseek-v4-flash-max,Math,85.0,109178,85,100
deepseek-v4-flash-max,Coding,90.0,36951,54,60
deepseek-v4-flash-max,Science,67.5,82348,27,40
kimi-k2.6,Math,79.0,53082,79,100
kimi-k2.6,Coding,68.3,24408,41,60
kimi-k2.6,Science,75.0,41898,30,40
kimi-k2.5,Math,78.0,46528,78,100
kimi-k2.5,Coding,66.7,17534,40,60
kimi-k2.5,Science,67.5,29927,27,40
qwen3.5-397b-a17b,Math,57.0,35771,57,100
qwen3.5-397b-a17b,Coding,85.0,19404,51,60
qwen3.5-397b-a17b,Science,67.5,12355,27,40
minimax-m2.7,Math,57.0,47811,228,400
minimax-m2.7,Coding,83.3,21041,200,240
minimax-m2.7,Science,66.9,26599,107,160
mimo-v2.5-pro-thinking,Math,61.0,48868,61,100
